Baris Data,Soal 1,Soal 2,Soal 3,Soal 4,Soal 5,Soal 6,Soal 7,Soal 8,Soal 9,Soal 10,Soal 11,Soal 12,Soal 13,Soal 14,Soal 15,Soal 16,Soal 17,Soal 18,Soal 19,Soal 20,Soal 21,Soal 22,Soal 23,Soal 24,Soal 25
Siswa 136,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1
Siswa 137,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Siswa 138,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1
Siswa 139,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1
Siswa 140,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
Siswa 141,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Siswa 142,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1
Siswa 143,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0
Siswa 144,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Siswa 145,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1
Siswa 146,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Siswa 147,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
Siswa 148,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
Siswa 149,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Siswa 150,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Siswa 151,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0
Siswa 152,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1
Siswa 153,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1
Siswa 154,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1
Siswa 155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Siswa 156,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1
Siswa 157,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0
Siswa 158,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1
Siswa 159,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
Siswa 160,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
